    PID    PPID COMMAND         COMMAND
  71309   71308 chrome          /app/extra/chrome --disable-features=WebAssemblyTrapHandler,DesktopPWAsRunOnOsLogin --ozone-platform=wayland --user-data-dir=/home/emeric/.var/app/com.google.Chrome/config/chrome-auto --remote-debugging-port=9222 --no-first-run https://chatgpt.com/images/
  71326   71308 chrome_crashpad /app/extra/chrome_crashpad_handler --monitor-self --monitor-self-annotation=ptype=crashpad-handler --database=/home/emeric/.var/app/com.google.Chrome/config/google-chrome/Crash Reports --url=https://clients2.google.com/cr/report --annotation=channel= --annotation=lsb-release=Freedesktop SDK 25.08 (Flatpak runtime) --annotation=plat=Linux --annotation=prod=Chrome_Linux --annotation=ver=152.0.7977.82 --initial-client-fd=10 --shared-client-connection
  71328   71308 chrome_crashpad /app/extra/chrome_crashpad_handler --no-periodic-tasks --monitor-self-annotation=ptype=crashpad-handler --database=/home/emeric/.var/app/com.google.Chrome/config/google-chrome/Crash Reports --url=https://clients2.google.com/cr/report --annotation=channel= --annotation=lsb-release=Freedesktop SDK 25.08 (Flatpak runtime) --annotation=plat=Linux --annotation=prod=Chrome_Linux --annotation=ver=152.0.7977.82 --initial-client-fd=4 --shared-client-connection
  71335   71309 chrome          /app/extra/chrome --type=zygote --no-zygote-sandbox --crashpad-handler-pid=18 --enable-crash-reporter=, --user-data-dir=/home/emeric/.var/app/com.google.Chrome/config/chrome-auto --change-stack-guard-on-fork=enable
  71337   71309 zypak-sandbox   [zypak-sandbox] <defunct>
  71339   71308 cat             cat
  71340   71308 cat             cat
  71342 2776949 bwrap           /usr/bin/bwrap --args 43 -- /app/bin/zypak-helper child - /app/extra/chrome --type=zygote --crashpad-handler-pid=18 --enable-crash-reporter=, --user-data-dir=/home/emeric/.var/app/com.google.Chrome/config/chrome-auto --change-stack-guard-on-fork=enable
  71355   71308 bwrap           /usr/bin/bwrap --args 43 -- /app/bin/zypak-helper child - /app/extra/chrome --type=zygote --crashpad-handler-pid=18 --enable-crash-reporter=, --user-data-dir=/home/emeric/.var/app/com.google.Chrome/config/chrome-auto --change-stack-guard-on-fork=enable
  71356   71355 chrome          /app/extra/chrome --type=zygote --crashpad-handler-pid=18 --enable-crash-reporter=, --user-data-dir=/home/emeric/.var/app/com.google.Chrome/config/chrome-auto --change-stack-guard-on-fork=enable
